CatalogEntryParentProductRelationship
PartNumber,ParentPartNumber,Sequence
CHG97A.WHI.12,CHG97,0
CHG97A.WHI.10,CHG97,0
CHG98A.RED.6,CHG98,0
CHG98A.RED.14,CHG98,0
CHG98A.RED.12,CHG98,0
CHG98A.RED.10,CHG98,0
CHG98A.RED.8,CHG98,0
CHG98A.RED.7,CHG98,0
CHG98A.RED.16,CHG98,0
W0930.TUR.8,W0930,0
W0930.TUR.7,W0930,0
W0930.TUR.6,W0930,0
W0930.TUR.16,W0930,0
W0930.TUR.14,W0930,0
W0930.TUR.12,W0930,0
W0930.TUR.10,W0930,0
W0960.BER.XS,W0960,0
W0960.BER.XL,W0960,0
W0960.BER.S,W0960,0
W0960.BER.M,W0960,0
W0960.BER.L,W0960,0
F6418.PUR.XL,F6418,0
F6418.PUR.S,F6418,0
F6418.PUR.M,F6418,0
F6418.PUR.L,F6418,0
F6419.PUR.XL,F6419,0
F6419.PUR.S,F6419,0
F6419.PUR.M,F6419,0
F6419.PUR.L,F6419,0
F6488.PIN.XL,F6488,0
F6488.PIN.S,F6488,0
F6488.PIN.M,F6488,0
F6488.PIN.L,F6488,0
DGR36.XS,DGR36,0
DGR36.XL,DGR36,0
DGR36.S,DGR36,0
DGR36.M,DGR36,0
DGR36.L,DGR36,0
CHL53A.LIL.S,CHL53,0
CHL53A.LIL.L,CHL53,0
CHL53A.LIL.XS,CHL53,0
CHL53A.LIL.XL,CHL53,0
CHL53A.LIL.M,CHL53,0
CKW11B.FUS.S,CKW11,0
CKW11A.FUS.XL,CKW11,0
CKW11A.FUS.M,CKW11,0
CKW11A.FUS.L,CKW11,0
F6594.AQU.XL,F6594,0
F6594.AQU.S,F6594,0
F6594.AQU.M,F6594,0
F6594.AQU.L,F6594,0
F6607.NAV.XS,F6607,0
F6607.NAV.XL,F6607,0
F6607.NAV.S,F6607,0
F6607.NAV.M,F6607,0
F6607.NAV.L,F6607,0
F6623.PIN.XS,F6623,0
F6623.PIN.S,F6623,0
F6623.PIN.M,F6623,0
F6623.PIN.L,F6623,0
F6627.STR.XS,F6627,0
F6627.STR.S,F6627,0
F6627.STR.M,F6627,0
F6627.STR.L,F6627,0
F7038.BER.XS,F7038,0
F7038.BER.XL,F7038,0
F7038.BER.S,F7038,0
F7038.BER.M,F7038,0
F7038.BER.L,F7038,0
F7072.BER.XS,F7072,0
F7072.BER.XL,F7072,0
F7072.BER.S,F7072,0
F7072.BER.M,F7072,0
F7072.BER.L,F7072,0
F7124A.PIN.M,F7124A,0
F7124A.PIN.XS,F7124A,0
F7124A.PIN.S,F7124A,0
F7124A.PIN.L,F7124A,0
F7126.XL,F7126,0
F7126.S,F7126,0
F7126.M,F7126,0
F7126.L,F7126,0
CGD28.WHI.XS,CGD28,0
CGD28.WHI.S,CGD28,0
CGD28.WHI.M,CGD28,0
CGD28.WHI.L,CGD28,0
CGD29A.PIN.8,CGD29,0
CGD29A.PIN.7,CGD29,0
