CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
FLY23,conversantbbclothing,3480
FLY23,clothingcat,285
FLY23,newtm,350
FLY23,sportsactivities,58
FLY23,clothingnew,415
FLY23,furnaccesscamping,32
FLY23,conversanttmclothing,255
FLY23,conversantccclothing,3480
FLY23,conversantbfclothing,3480
FLY23,conversantwwclothing,3480
FLX54,whilesupplieslast,140
FLX54,sale,140
FLX54,earlyaccess,140
FLV82,new8up,815
FLV82,clothingspring,122
FLV82,clothingcasual,230
FLV82,clothingtm,236
FLV82,clothing18inch,265
FLV82,tmmixmatch,415
FLV82,newtm,415
FLV82,ggunder30,270
FLV82,conversantwwclothing,3375
FLV82,new,270
FLV82,conversanttmclothing,375
FLV82,clothingcat,375
FLV82,clothingnew,736
FLV82,conversantccclothing,3375
FLV82,conversantbbclothing,3375
FLV82,conversantbfclothing,3375
FLR33,new8up,810
FLR33,newtm,410
FLR33,clothingtm,234
FLR33,clothing18inch,260
FLR33,clothingspring,124
FLR33,tmmixmatch,410
FLR33,clothingcat,665
FLR33,clothingcasual,225
FLR33,conversantbbclothing,3370
FLR33,clothingnew,734
FLR33,new,265
FLR33,conversantwwclothing,3370
FLR33,conversantbfclothing,3370
FLR33,conversantccclothing,3370
FLR33,conversanttmclothing,370
FLR08,new8up,800
FLR08,clothingtm,228
FLR08,tmmixmatch,400
FLR08,clothingspring,130
FLR08,newtm,400
FLR08,clothingnew,460
FLR08,conversantwwclothing,3360
FLR08,clothing18inch,250
FLR08,clothingcat,655
FLR08,new,255
FLR08,conversantbbclothing,3360
FLR08,conversanttmclothing,360
FLR08,conversantccclothing,3360
FLR08,conversantbfclothing,3360
FLR07,ggunder30,266
FLR07,Valentinegifts,220
FLR07,new8up,795
FLR07,newtm,395
FLR07,clothingmatch,150
FLR07,clothingtm,226
FLR07,clothingspring,132
FLR07,clothing18inch,245
FLR07,new,250
FLR07,clothingnew,439
FLR07,conversantbfclothing,3355
FLR07,clothingcat,600
FLR07,tmmixmatch,395
FLR07,conversantbbclothing,3355
FLR07,conversanttmclothing,355
FLR07,conversantwwclothing,3355
FLR07,conversantccclothing,3355
11013-61379,csr_rparts ,0
BKC04-R03A,csr_rparts ,0
AG1606,csr_rparts ,0
CLD75,csr_nla_,0
DRG05,csr_nla_,0
F7946,whilesupplieslast,345
F7946,sale,345
F7946,SEO Books for Kids,1400
F7946,earlyaccess,345
FDX17,conversantwwfurniture,5415
FDX17,conversanttmfurniture,495
FDX17,furnaccessstorageother,50
FDX17,ggunder30,325
FDX17,furnaccesstm,460
FDX17,furnaccesscat,415
FDX17,conversantccfurniture,455
FDX17,trulymespecialextrasoffer,70
FDX17,conversantbffurniture,5415
FDX17,conversantbbfurniture,5415
FFG95,girlshortspantsskirts,140
FFG95,allgirlclothing,490
FFG95,clothingbiggirl,290
FFG95,dollzsub,370
11012-78958,csr_rparts ,0
FGT97,furnaccessz,150
FGT97,clothingz,110
FGT97,furnaccessanimals,140
FGT97,dollzsub,250
FGT97,conversanttmfurniture,7060
FGT97,conversantccfurniture,499
FGT97,conversantbffurniture,8060
FGT97,furnaccesscat,3060
FGT97,conversantwwfurniture,8060
FGT97,conversantbbfurniture,8060
FFG93.BLU.XL,girltops,0
FFG93.BLU.XL,allgirlclothing,0
FFG93.BLU.XL,csr_canada_active,1
FFG93.BLU.XL,ggunder30,0
FFG93.BLU.XL,dollzsub,0
FFG93.BLU.XL,clothingbiggirl,0
11012-78807,csr_rparts ,0
11012-78806,csr_rparts ,0
FFG94.GRA.12,girlshortspantsskirts,0
FFG94.GRA.12,allgirlclothing,0
FFG94.GRA.12,csr_canada_active,1
FFG94.GRA.12,dollzsub,0
FFG94.GRA.12,clothingbiggirl,0
FFG94.GRA.16,girlshortspantsskirts,0
FFG94.GRA.16,allgirlclothing,0
FFG94.GRA.16,csr_canada_active,1
FFG94.GRA.16,dollzsub,0
FFG94.GRA.16,clothingbiggirl,0
FFG93.BLU.L,girltops,0
FFG93.BLU.L,allgirlclothing,0
FFG93.BLU.L,csr_canada_active,1
FFG93.BLU.L,ggunder30,0
FFG93.BLU.L,dollzsub,0
FFG93.BLU.L,clothingbiggirl,0
FMR79,csr_nla_,5
FMR94,csr_nla_,30
FMR90,csr_nla_,25
FMR91,csr_nla_,20
FMR89,csr_nla_,25
FLK87,tmdoll,0
FMR93,csr_nla_,40
FMT03,csr_nla_,50
DYL67,clothingspringdress,215
DYL67,conversantccclothing,905
DYL67,clothingspec,110
DYL67,clothing18inch,465
DYL67,gg8up,240
DYL67,clothingcat,620
DYL67,clothingtenney,220
DYL67,dolltenneysub,270
DYL67,agfairwayplace,1640
DYL67,conversantbbclothing,3905
DYL67,conversanttmclothing,3905
DYL67,conversantwwclothing,3905
DYL67,conversantbfclothing,3905
DYG56,clothingcat,1989
DYG56,clothing18inch,322
DYG56,clothinglogoshop,82
DYC20,projecttailor,0
DYC21,projecttailor,0
DYC22,projecttailor,0
FGP41,projecttailor,0
11001-07481,csr_rparts ,0
11008-94798,csr_rparts ,0
11008-94806,csr_rparts ,0
11008-94803,csr_rparts ,0
11008-94814,csr_rparts ,0
11008-94819,csr_rparts ,0
11008-94824,csr_rparts ,0
11008-94818,csr_rparts ,0
11008-94834,csr_rparts ,0
11008-94841,csr_rparts ,0
11008-94839,csr_rparts ,0
11008-94848,csr_rparts ,0
DNX85,csr_nla_,0
DNX87,csr_nla_,0
DNX88,csr_nla_,0
DNX86,csr_nla_,0
DNX89,whilesupplieslast,700
DNX89,sale,700
DNX89,earlyaccess,700
DNX93,csr_nla_,0
DNX94,sale,720
DNX94,whilesupplieslast,720
DNX94,earlyaccess,720
DNX95,csr_nla_,0
CDYL43,csr_nla_canada,0
CDYL45,csr_nla_canada,0
11010-92903,csr_rparts ,0
11010-92907,csr_rparts ,0
11010-92902,csr_rparts ,0
DVM06,csr_rparts ,0
DYL43,csr_nla_,0
DYL45,csr_nla_,0
FFW04,csr_nla_,0
BKF08-A06A,csr_rparts ,0
BKF08-A06A,projecttailor,0
F8120.PRI.16,csr_nla_,0
DNX50.PLA.12,csr_canada_active,1
DNX50.PLA.12,csr_nla_,0
G0624,csr_nla_,0
FMN37,newww,912
FMN37,new5up,912
FMN37,wwclothingdlyd,34
FMN37,clothingmatch,210
FMN37,furnaccessgirl5up,100
FMN37,furnaccesscat,495
FMN37,furnaccessnew,510
FMN37,new,912
FMN37,conversantwwfurniture,600
FMN37,furnaccessforgirls,200
FMN37,clothingbed,190
FMN37,conversantccfurniture,500
FMN37,conversanttmfurniture,5495
FMN37,conversantbffurniture,5495
FMN37,conversantbbfurniture,5495
FMN38.WHI.L,new8up,0
FMN38.WHI.L,clothingmatch,0
FMN38.WHI.L,conversantwwfurniture,0
FMN38.WHI.L,furnaccesscat,0
FMN38.WHI.L,furnaccessnew,0
FMN38.WHI.L,furnaccessgirl8up,0
FMN38.WHI.L,furnaccessforgirls,0
FMN38.WHI.L,clothingbed,0
FMN38.WHI.L,conversanttmfurniture,0
FMN38.WHI.L,conversantccfurniture,0
FMN38.WHI.L,gg8up,0
FMN38.WHI.L,conversantbffurniture,0
FMN38.WHI.L,conversantbbfurniture,0
FMN38.WHI.L,new,0
FMN38.WHI.M,new8up,0
FMN38.WHI.M,clothingmatch,0
FMN38.WHI.M,conversantwwfurniture,0
FMN38.WHI.M,furnaccesscat,0
FMN38.WHI.M,furnaccessnew,0
FMN38.WHI.M,furnaccessgirl8up,0
FMN38.WHI.M,furnaccessforgirls,0
FMN38.WHI.M,clothingbed,0
FMN38.WHI.M,conversanttmfurniture,0
FMN38.WHI.M,conversantccfurniture,0
FMN38.WHI.M,gg8up,0
FMN38.WHI.M,conversantbffurniture,0
FMN38.WHI.M,conversantbbfurniture,0
FMN38.WHI.M,new,0
FMN37.WHI.1/2,newww,0
FMN37.WHI.1/2,new5up,0
FMN37.WHI.1/2,wwclothingdlyd,0
FMN37.WHI.1/2,clothingmatch,0
FMN37.WHI.1/2,furnaccessgirl5up,0
FMN37.WHI.1/2,furnaccesscat,0
FMN37.WHI.1/2,furnaccessnew,0
FMN37.WHI.1/2,new,0
FMN37.WHI.1/2,conversantwwfurniture,0
FMN37.WHI.1/2,furnaccessforgirls,0
FMN37.WHI.1/2,clothingbed,0
FMN37.WHI.1/2,conversantccfurniture,0
FMN37.WHI.1/2,conversanttmfurniture,0
FMN37.WHI.1/2,conversantbffurniture,0
FMN37.WHI.1/2,conversantbbfurniture,0
CHJ88,csr_nla_,0
DJD55,csr_nla_,0
DVM08,conversantwwfurniture,6880
DVM08,conversanttmfurniture,6880
DVM08,furnaccesshairspa,100
DVM08,furnaccessstorageother,460
DVM08,furnaccesscat,1880
DVM08,clothingawardseason,190
DVM08,dollgotysub,190
DVM08,furnaccesssports,130
DVM08,furnaccessgoty,210
DVM08,ggspring,100
DVM08,Valentinegifts,190
DVM08,agfairwayplace,1340
DVM08,conversantbbfurniture,6880
DVM08,conversantccfurniture,460
DVM08,goty2018,190
DVM08,conversantbffurniture,6880
DVM08,sportsactivities,178
DYL71,sale,870
DYL71,whilesupplieslast,870
DYL71,clothingcat,1490
DYL71,conversantwwclothing,4490
DYL71,conversantccclothing,1790
DYL71,goty2018,130
DYL71,conversanttmclothing,4490
DYL71,dollgotysub,130
DYL71,clothinggoty,380
DYL71,clothingbiggirl,135
DYL71,allgirlclothing,420
DYL71,conversantbbclothing,4490
DYL71,earlyaccess,870
DYL71,conversantbfclothing,4490
DXP87.PRT.10,csr_nla_,0
DXP87.PRT.10,csr_canada_active,1
DYP29,goty2018,280
DYP29,conversantwwclothing,4015
DYP29,clothing18inch,445
DYP29,dollgotysub,280
DYP29,clothingactive,165
DYP29,clothinggoty,360
DYP29,clothingcat,1015
DYP29,conversantbbclothing,4015
DYP29,sportsactivities,170
DYP29,conversanttmclothing,4015
DYP29,conversantccclothing,1015
DYP29,conversantbfclothing,4015
DXP89.PRT.10,csr_canada_active,1
DXP89.PRT.10,csr_nla_,0
DXP87.PRT.16,csr_nla_,0
DXP87.PRT.16,csr_canada_active,1
DXP87.PRT.8,csr_nla_,0
DXP87.PRT.8,csr_canada_active,1
DXP89.PRT.16,csr_canada_active,1
DXP89.PRT.16,csr_nla_,0
DXP89.PRT.7,csr_canada_active,1
DXP89.PRT.7,csr_nla_,0
FBB89,ggaward,150
FBB89,dollscat,140
FBB89,doll8up,130
FBB89,dolltenneysub,110
FBB89,SEO 18 Inch Dolls,150
FBB89,gg8up,210
FBB89,boydolls,610
FBB89,conversantbbdoll,265
FBB89,ggcustfaves,170
FBB89,holidayideas,280
FBB89,conversanttmdoll,1140
FBB89,conversantwwdoll,265
FBB89,conversantccdoll,140
FBB89,conversantbfdoll,240
11010-04476,csr_rparts ,0
