CatalogEntryParentProductRelationship
PartNumber,ParentPartNumber,Sequence
F8775.BER.L,F8775,0
F8793.BER.L,F8793,0
F8793.BER.M,F8793,0
F8793.BER.S,F8793,0
F8793.BER.XS,F8793,0
F8725.BER.L,F8725,0
F8725.BER.M,F8725,0
F8725.BER.S,F8725,0
F7888.S,F7888,0
F7888.M,F7888,0
F7888.XL,F7888,0
DGN64.BER.XS,DGN64,0
F7888.L,F7888,0
CMN75B.BLA.14,CMN75,0
DGN64.BER.M,DGN64,0
DGN64.BER.L,DGN64,0
CMN75B.BLA.8,CMN75,0
CMN75B.BLA.7,CMN75,0
DKB21.WHI.L,DKB21,0
BKK09.BER.XL,BKK09,0
CHG91A.NAV.10,CHG91,0
CHG91A.NAV.12,CHG91,0
CHG91A.NAV.14,CHG91,0
CHG91A.NAV.16,CHG91,0
CHG91A.NAV.6,CHG91,0
CHG91A.NAV.7,CHG91,0
CHG91A.NAV.8,CHG91,0
DKH98A.PIN.L,DKH98,0
FDX22.AQU.6,FDX22,0
FDX22.AQU.5,FDX22,0
FDX22.AQU.4,FDX22,0
FDX22.AQU.3,FDX22,0
CKJ02B.PUR.16,CCKJ02,0
CF7489.COR.L,CF7489,0
CG0608.WHI.L,CG0608,0
CG0608.WHI.M,CG0608,0
CF7489.COR.XS,CF7489,0
CCHC97.PUR.XL,CHC97,0
DKH98A.PIN.XL,DKH98,0
DKH98A.PIN.S,DKH98,0
CCKJ04.GRA.10,CKJ04,0
CKJ02B.PUR.14,CKJ02,0
DKB21.WHI.XL,DKB21,0
DKB21.WHI.XS,DKB21,0
CHD01A.BER.L,CHD01,0
CHD01A.BER.M,CHD01,0
CHD01A.BER.S,CHD01,0
CHD01A.BER.XL,CHD01,0
CHD01A.BER.XS,CHD01,0
F8735.BER.XS,F8735,0
F8699.BER.XL,F8699,0
F8699.BER.S,F8699,0
F8699.BER.M,F8699,0
F8699.BER.L,F8699,0
F8735.BER.L,F8735,0
F8699.BER.XS,F8699,0
F8735.BER.M,F8735,0
F8735.BER.S,F8735,0
F8735.BER.XL,F8735,0
F8841.BER.L,F8841,0
F8841.BER.M,F8841,0
F8841.BER.S,F8841,0
F8841.BER.XL,F8841,0
F8841.BER.XS,F8841,0
DRK76.PLU.7,DRK76,0
DRK76.PLU.10,DRK76,0
DRK76.PLU.12,DRK76,0
DRK76.PLU.6,DRK76,0
DRK76.PLU.8,DRK76,0
CKT19A.BLU.L,CKT19,0
CKT19A.BLU.M,CKT19,0
CKT19A.BLU.S,CKT19,0
CKT19A.BLU.XL,CKT19,0
CKT19A.BLU.XS,CKT19,0
DYL46.WHI.3,DYL46,0
DYL46.WHI.4,DYL46,0
DYL46.WHI.5,DYL46,0
DYL46.WHI.6,DYL46,0
DYL47.NAV.4,DYL47,0
DYL47.NAV.3,DYL47,0
DYL47.NAV.5,DYL47,0
DYL47.NAV.6,DYL47,0
DRH78.RED.S,DRH78,0
DRH78.RED.M,DRH78,0
DRH78.RED.XL,DRH78,0
DRH78.RED.L,DRH78,0
CGP73.PIN.6,CGP73,0
DNX54.DEN.XS,DNX54,0
DNX54.DEN.L,DNX54,0
