CatalogEntryUpdate
PartNumber,Type,ParentGroupIdentifier,CurrencyCode,ListPrice,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Buyable,Published,Available,Delete
FHN90,ItemBean,FP_MarketingProducts,USD,10,SEASON 3 TG MULTI-PACK,,,FHN90_01,FHN90_Viewer,0,1,1,0
FHN91,ItemBean,FP_MarketingProducts,USD,10,SEASON 3 TG MULTI-PACK,,,FHN91_01,FHN91_Viewer,0,1,1,0
FHN92,ItemBean,FP_MarketingProducts,USD,10,SEASON 3 TG MULTI-PACK,,,FHN92_01,FHN92_Viewer,0,1,1,0
FHN93,ItemBean,FP_MarketingProducts,USD,10,SEASON 3 TG MULTI-PACK,,,FHN93_01,FHN93_Viewer,0,1,1,0
FHN94,ItemBean,FP_MarketingProducts,USD,10,SEASON 3 TG MULTI-PACK,,,FHN94_01,FHN94_Viewer,0,1,1,0
FHN95,ItemBean,FP_MarketingProducts,USD,10,SEASON 3 TG MULTI-PACK 11,,,FHN95_01,FHN95_Viewer,0,1,1,0
FHN96,ItemBean,FP_MarketingProducts,USD,10,SEASON 3 TG MULTI-PACK,,,FHN96_01,FHN96_Viewer,0,1,1,0
FHN97,ItemBean,FP_MarketingProducts,USD,10,SEASON 3 TG MULTI-PACK,,,FHN97_01,FHN97_Viewer,0,1,1,0
FHN98,ItemBean,FP_MarketingProducts,USD,10,SEASON 3 TG MULTI-PACK,,,FHN98_01,FHN98_Viewer,0,1,1,0
FHP02,ItemBean,69,USD,19.99,DCSF BATROBOT,,,FHP02_01,FHP02_Viewer,1,1,1,0
FHP57,ItemBean,DC,USD,20.99,BRB STRYTLNG DL,,,FHP57_01,FHP57_Viewer,1,1,1,0
FHP59-B01A,ItemBean,05,USD,4,GOTY17 (Gabby) Doll Box - Inner,GOTY17 (Gabby) Doll Box - Inner,,,,1,1,1,0
FHP60-B01A,ItemBean,05,USD,4,GOTY 17 (Gabby) Doll Box - Outer,GOTY 17 (Gabby) Doll Box - Outer,,,,1,1,1,0
FHP62,ItemBean,DC,USD,9.99,BRB SSTRS SKIPR,,,FHP62_01,FHP62_Viewer,1,1,1,0
FHP63,ItemBean,DC,USD,9.99,BRB SSTRS Stacie,,,FHP63_01,FHP63_Viewer,1,1,1,0
FHP64,ItemBean,DC,USD,19.99,BRB/KEN 2 PK,,,FHP64_01,FHP64_Viewer,1,1,1,0
FHP65,ItemBean,DC,USD,9.99,BRB NON FEAT DL,,,FHP65_01,FHP65_Viewer,1,1,1,0
FHP67,ItemBean,DC,USD,12.99,BRB CHLSA JR DL 1,,,FHP67_01,FHP67_Viewer,1,1,1,0
FHP68,ItemBean,DC,USD,12.99,BRB CHLSA JR DL 2,,,FHP68_01,FHP68_Viewer,1,1,1,0
FHP79,ItemBean,AP,USD,19.99,BIOME HOLIDAY PACK,,,FHP79_01,FHP79_Viewer,1,1,1,0
FHR08,ItemBean,DC,USD,19.99,BRB VEH ACCY,,,FHR08_01,FHR08_Viewer,1,1,1,0
FHR09,ItemBean,DC,USD,29.99,BRB PZA MKG DL/ACY,,,FHR09_01,FHR09_Viewer,1,1,1,0
FHR10,ItemBean,AB,USD,29.99,CARS DINOCO QUICK CHANGE,,,FHR10_01,FHR10_Viewer,1,1,1,0
FHR38-R70A,ItemBean,06,USD,48,PLATINUM PIXIE WIG,"Pixie, Light Blond",,,,1,1,1,0
FHR39-R70A,ItemBean,unassigned,USD,48,,"Pixie, Blond",,,,1,1,1,0
FHR40-R70A,ItemBean,unassigned,USD,48,,"Pixie, Light Red",,,,1,1,1,0
FHR41-R70A,ItemBean,unassigned,USD,48,,"Pixie, Red",,,,1,1,1,0
FHR42-R70A,ItemBean,unassigned,USD,48,,"Pixie, Brown",,,,1,1,1,0
FHR43-R70A,ItemBean,unassigned,USD,48,,"Pixie, Dark Brown",,,,1,1,1,0
FHR44-R70A,ItemBean,unassigned,USD,48,,"Pixie, Black",,,,1,1,1,0
FHR45-R70A,ItemBean,06,USD,48,,"Bob, Light Blond",,,,1,1,1,0
FHR46-R70A,ItemBean,unassigned,USD,48,,"Bob, Blond",,,,1,1,1,0
FHR47-R70A,ItemBean,unassigned,USD,48,,"Bob, Light Red",,,,1,1,1,0
FHR48-R70A,ItemBean,unassigned,USD,48,,"Bob, Red",,,,1,1,1,0
FHR49-R70A,ItemBean,unassigned,USD,48,,"Bob, Brown",,,,1,1,1,0
FHR50-R70A,ItemBean,unassigned,USD,48,,"Bob, Dark Brown",,,,1,1,1,0
FHR51-R70A,ItemBean,unassigned,USD,48,,"Bob, Black",,,,1,1,1,0
FHR52-R70A,ItemBean,unassigned,USD,48,,"Bob, Bangs, Light Blond",,,,1,1,1,0
FHR53-R70A,ItemBean,unassigned,USD,48,,"Bob, Bangs, Blond",,,,1,1,1,0
FHR54-R70A,ItemBean,unassigned,USD,48,,"Bob, Bangs, Light Red",,,,1,1,1,0
FHR55-R70A,ItemBean,06,USD,48,RED BOB W/ BANGS WIG,"Bob, Bangs, Red",,,,1,1,1,0
FHR56-R70A,ItemBean,unassigned,USD,48,,"Bob, Bangs, Brown",,,,1,1,1,0
FHR57-R70A,ItemBean,unassigned,USD,48,,"Bob, Bangs, Dark Brown",,,,1,1,1,0
FHR58-R70A,ItemBean,unassigned,USD,48,,"Bob, Bangs, Black",,,,1,1,1,0
FHR59-R70A,ItemBean,unassigned,USD,48,,"Short, Curly, Light Blond",,,,1,1,1,0
FHR60-R70A,ItemBean,unassigned,USD,48,,"Short, Curly, Blond",,,,1,1,1,0
FHR61-R70A,ItemBean,unassigned,USD,48,,"Short, Curly, Light Red",,,,1,1,1,0
FHR62-R70A,ItemBean,06,USD,48,RED SHORT CURLY WIG,"Short, Curly, Red",,,,1,1,1,0
FHR63-R70A,ItemBean,unassigned,USD,48,,"Short, Curly, Brown",,,,1,1,1,0
FHR64-R70A,ItemBean,unassigned,USD,48,,"Short, Curly, Dark Brown",,,,1,1,1,0
FHR65-R70A,ItemBean,unassigned,USD,48,,"Short, Curly, Black",,,,1,1,1,0
FHR66-R70A,ItemBean,06,USD,48,PLAT NTRL SHORT WIG,"Short, Tight Curls, Light Blond",,,,1,1,1,0
FHR67-R70A,ItemBean,unassigned,USD,48,,"Short, Tight Curls, Blond",,,,1,1,1,0
FHR68-R70A,ItemBean,unassigned,USD,48,,"Short, Tight Curls, Light Red",,,,1,1,1,0
FHR69-R70A,ItemBean,unassigned,USD,48,,"Short, Tight Curls, Red",,,,1,1,1,0
FHR70-R70A,ItemBean,unassigned,USD,48,,"Short, Tight Curls, Brown",,,,1,1,1,0
FHR71-R70A,ItemBean,unassigned,USD,48,,"Short, Tight Curls, Dark Brown",,,,1,1,1,0
