CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
M9528,CategoryBabyToys,87
M9528,FPStoreGifts,233
M9528,Bed_Bath,12
M9528,Classic,6
M9528,Playtime,116
M9528,FPStoreAge,323
M9528,FPStoreGiftsGirls,137
M9528,FPStoreGiftStuffers,29
M9528,FPStoreGiftsunder50,277
N7298,csr_nla_,0
N7298,Age3to4Years,261
N7298,Age4to5Years,140
N7298,Age5Plus,165
R9041,csr_nla_,0
T5627,SET_COMPONENTS,0
T5627,FPStoreBrands,376
T5627,Age12to24Month,100
T5627,Age2to3Years,230
T5627,Age5Plus,341
T5627,Age3to4Years,348
T5627,Age4to5Years,347
T5627,Land,53
T5627,FPStoreBMSM,206
T5627,CategoryVehicles,23
T5627,FPStoreCategory,199
T5627,Wheelies,8
T5627,CategoryCarsTruckBuses,44
T5627,FPStoreAge,547
T5627,FPStoreGifts,693
T5627,BrandsLittlePeople,73
T5627,FPStoreGiftStuffers,67
T5627,FPStoreGiftsunder50,347
T5634,SET_COMPONENTS,0
T5634,FPStoreBrands,377
T5634,Age12to24Month,101
T5634,Age2to3Years,231
T5634,Age5Plus,342
T5634,Age3to4Years,349
T5634,Age4to5Years,348
T5634,Land,51
T5634,FPStoreBMSM,207
T5634,CategoryVehicles,21
T5634,FPStoreCategory,248
T5634,Wheelies,9
T5634,CategoryCarsTruckBuses,42
T5634,FPStoreAge,549
T5634,FPStoreGifts,694
T5634,BrandsLittlePeople,74
T5634,FPStoreGiftStuffers,77
T5634,FPStoreGiftsunder50,372
V8601,SET_COMPONENTS,0
V8601,csr_nla_,0
W2866,FPStoreBrands,35
W2866,Halloween_sale,17
W2866,Age12to24Month,27
W2866,Age2to3Years,181
W2866,Age5Plus,295
W2866,Age3to4Years,302
W2866,Age4to5Years,301
W2866,SET_COMPONENTS,0
W2866,CategoryPlaysets,33
W2866,FPStoreCategory,67
W2866,ClearanceLittlePeople,1
W2866,topsellers,6
W2866,ClearancePlaysetsFigures,1
W2866,Sale,12
W2866,FPStoreSale,12
W2866,Wheelies,1
W2866,ExclusiveHardToFind,26
W2866,this-is-a-test,0
W2866,FPStoreBMSM,4
W2866,CategoryFigsPlaysets,200
W2866,CategoryPlaysetsSub,21
W2866,TodaySales,380
W2866,FPEasterLittlePeople,16
W2866,FPEasterSale,137
W2866,CATALOGTESTING_NOTFORDISPLAY,26
W2866,BrandsLittlePeople,95
W2866,FPStoreAge,43
W2866,FPStoreGifts,255
W2866,FPStoreHotGifts,9
W2866,FPStoreGiftsBoys,31
W2866,FPStoreGiftsGirls,33
W2866,FPStoreGiftsunder50,37
W2869,Halloween_sale,18
W2869,Age12to24Month,67
W2869,Age2to3Years,159
W2869,Age5Plus,267
W2869,Age4to5Years,273
W2869,Age3to4Years,277
W2869,SET_COMPONENTS,0
W2869,LPupto50percentoff,70
W2869,CategoryPlaysets,15
W2869,FPStoreBrands,143
W2869,FPStoreCategory,471
W2869,FPStoreExclusive,51
W2869,ExclusiveViewAll,51
W2869,Holiday,10
W2869,FPStoreBMSM,10
W2869,CategoryFigsPlaysets,155
W2869,CategoryPlaysetsSub,28
W2869,CategorySeasonalSub,5
W2869,TodaySales,180
W2869,BrandsLittlePeople,114
W2869,FPStoreAge,684
W2869,FPStoreGifts,277
W2869,FPStoreHotGifts,77
W2869,FPStoreGiftsBoys,191
W2869,FPStoreGiftsGirls,153
W2869,FPStoreGiftsunder50,98
W3542,Age5Plus,464
W3542,Age4to5Years,504
W3542,Age3to4Years,536
W3542,csr_nla_,0
W6085,Clearance,98
W6085,FPStoreBrands,502
W6085,FPStoreSale,10
W6085,Age6to12Month,52
W6085,Age12to24Month,185
W6085,Age2to3Years,306
W6085,FallClear,10
W6085,BrandsLaughLearn,20
W6085,FPStoreBMSM,281
W6085,FPStoreCategory,88
W6085,CategoryLearnEdu,62
W6085,CategoryInteractive,72
W6085,FPStoreAge,314
W6085,Sale,10
W6085,FPStoreGifts,517
W6085,CategoryBabyToys,61
W6085,Learning,50
W6085,Playtime,111
W6085,FPStoreGiftsGirls,75
W6085,FPStoreGiftsunder50,159
W6146,Age12to24Month,68
W6146,Age2to3Years,160
W6146,Age5Plus,268
W6146,Age4to5Years,274
W6146,Age3to4Years,278
W6146,SET_COMPONENTS,0
W6146,LPupto50percentoff,80
W6146,FPStoreBMSM,16
W6146,CategoryFigures,83
W6146,FPStoreBrands,160
W6146,FPStoreCategory,166
W6146,FPStoreExclusive,52
W6146,ExclusiveViewAll,52
W6146,Holiday,11
W6146,CategoryFigsPlaysets,157
W6146,CategoryFigsSub,77
W6146,CategorySeasonalSub,6
W6146,TodaySales,220
W6146,BrandsLittlePeople,116
W6146,FPStoreAge,687
W6146,FPStoreGifts,507
W6146,FPStoreHotGifts,80
W6146,FPStoreGiftsBoys,193
W6146,FPStoreGiftsGirls,155
W6146,FPStoreGiftStuffers,3
W6146,FPStoreGiftsunder50,96
W6147,Halloween_sale,19
W6147,Age12to24Month,69
W6147,Age2to3Years,161
W6147,Age5Plus,269
W6147,Age4to5Years,275
W6147,Age3to4Years,279
W6147,SET_COMPONENTS,0
W6147,LPupto50percentoff,90
W6147,FPStoreBMSM,17
W6147,CategoryFigures,84
W6147,FPStoreBrands,184
W6147,FPStoreCategory,202
W6147,FPStoreExclusive,53
W6147,ExclusiveViewAll,53
W6147,Holiday,12
W6147,CategoryFigsPlaysets,158
W6147,CategoryFigsSub,78
W6147,CategorySeasonalSub,7
W6147,TodaySales,210
W6147,BrandsLittlePeople,117
W6147,FPStoreAge,685
W6147,FPStoreGifts,506
W6147,FPStoreHotGifts,78
W6147,FPStoreGiftsBoys,192
W6147,FPStoreGiftsGirls,154
W6147,FPStoreGiftStuffers,2
W6147,FPStoreGiftsunder50,99
W9554,csr_nla_,0
W9859,csr_nla_,0
X6172,Age6to12Month,121
X6172,Age2to3Years,243
X6172,Age12to24Month,254
X6172,csr_nla_,0
X6218,Age5Plus,257
X6218,Age3to4Years,249
X6218,Age4to5Years,366
X6218,csr_nla_,0
Y6533,csr_nla_,0
X7680,FPStoreBrands,230
X7680,FPStoreSale,69
X7680,Age5Plus,148
X7680,Age4to5Years,156
X7680,Age3to4Years,109
X7680,FPStoreBMSM,95
X7680,CategoryPlaysets,79
X7680,ClearanceImaginext,12
X7680,FPStoreCategory,385
X7680,ClearancePlaysetsFigures,88
X7680,CategoryPlaysetsSub,71
X7680,CategoryFigsPlaysets,84
X7680,FPStoreAge,574
X7680,Sale,69
X7680,FPStoreGifts,254
X7680,FPStoreGiftsBoys,110
X7680,BrandsImaginext,85
X7680,FPStoreGiftsunder50,149
V2727,csr_nla_,0
V2757,csr_nla_,0
V2825,csr_nla_,0
V2825,SET_COMPONENTS,0
V3299,csr_nla_,0
V3400,csr_nla_,0
V3400,CategoryPlaysets,85
V3401,csr_nla_,0
V4138,SET_COMPONENTS,0
V4138,csr_nla_,0
V4156,csr_nla_,0
V4254,csr_nla_,0
V4254,SET_COMPONENTS,0
V4254,CategoryFigures,229
V4257,csr_nla_,0
V4257,SET_COMPONENTS,0
V4259,csr_nla_,0
V4260,csr_nla_,0
V4260,SET_COMPONENTS,0
V4261,csr_nla_,0
V4261,SET_COMPONENTS,0
V4262,csr_nla_,0
V4262,SET_COMPONENTS,0
V4265,csr_nla_,0
V4650,Clearance,184
V4650,AgeBirth6Month,107
V4650,AgeBabyOnWay,82
V4650,Age6to12Month,90
V4650,Age12to24Month,233
V4650,BabyGear,23
V4650,csr_nla_,0
V4650,BrandsBabyGear,40
V4650,Cat_Seats_Bouncers,27
V6753,csr_nla_,0
V7158,csr_nla_,0
V7159,csr_nla_,0
V8491,csr_nla_,0
W0265,csr_nla_,0
W0265,SET_COMPONENTS,0
W0269,SET_COMPONENTS,0
W0269,csr_nla_,0
W0269,Roleplay,3
W0376,csr_nla_,0
W0377,csr_nla_,0
W1594,csr_nla_,0
W1715,csr_nla_,0
W2602,csr_nla_,0
W2606,csr_nla_,0
W3066,csr_nla_,0
W3146,Sea,5
W3146,csr_nla_,0
W3241,csr_nla_,0
W3241,CategoryPlaysets,124
W3621,csr_nla_,0
W4122,csr_nla_,0
W4716,Age5Plus,258
W4716,Age3to4Years,250
W4716,Age4to5Years,367
W4716,csr_nla_,0
W5108,csr_nla_,0
W5110,Age4to5Years,55
W5110,Age2to3Years,105
W5110,Age3to4Years,205
W5110,FPStoreBrands,642
W5110,BrandsDisney,23
W5110,Minnie,23
W5110,CategoryFigures,154
W5110,FPStoreBMSM,396
W5110,FPStoreCategory,250
W5110,CategoryFigsPlaysets,214
W5110,FPStoreAge,637
