CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
X9579,whats-new,14
Y1173,silkstone-dolls,15
Y1173,furniture,6
Y1173,entertainment-fairytale-dolls,15
Y1173,dolls,15
Y1173,collectible-dolls-new,15
Y1173,whats-new,15
Y5910,twilight-saga-collection,7
Y5910,linda-kyaw,0
Y5910,pink-label,0
Y5910,silkstone-dolls,16
Y5910,furniture,7
Y5910,entertainment-fairytale-dolls,16
Y5910,dolls,16
Y5910,collectible-dolls-new,16
Y5910,whats-new,16
Y7445,barbie-life-in-dreamhouse,5
Y7445,silkstone-dolls,17
Y7445,furniture,8
Y7445,entertainment-fairytale-dolls,17
Y7445,dolls,17
Y7445,collectible-dolls-new,17
Y7445,whats-new,17
Y7450,silkstone-dolls,18
Y7450,sale-playsets,1
Y7450,entertainment-fairytale-dolls,18
Y7450,dolls,18
Y7450,collectible-dolls-new,18
Y7450,whats-new,18
Y7496,pop-culture-dolls,1
Y7496,sale-playsets,2
Y7496,entertainment-fairytale-dolls,19
Y7496,dolls,19
Y7496,collectible-dolls-new,19
Y7496,whats-new,19
Y7501,pop-culture-dolls,2
Y7501,sale-playsets,3
Y7501,entertainment-fairytale-dolls,20
Y7501,dolls,20
Y7501,collectible-dolls-new,20
Y7501,whats-new,20
Y8845,pop-culture-dolls,3
Y8845,sale-playsets,4
Y8845,african-american-dolls,1
Y8845,dolls,21
Y8845,collectible-dolls-new,21
Y8845,whats-new,21
Y9347,pop-culture-dolls,4
Y9347,sale-playsets,5
Y9347,african-american-dolls,2
Y9347,dolls,22
Y9347,collectible-dolls-new,22
Y9347,whats-new,22
BJF79,pop-culture-dolls,5
BJF79,sale-playsets,6
BJF79,african-american-dolls,3
BJF79,dolls,23
BJF79,collectible-dolls-new,23
BJF79,whats-new,23
R1623,silkstone-dolls,1
R1623,campers-cars,1
R1623,entertainment-fairytale-dolls,1
R1623,dolls,1
R1623,collectible-dolls-new,1
R1623,whats-new,1
X2131,silkstone-dolls,2
X2131,campers-cars,2
X2131,entertainment-fairytale-dolls,2
X2131,dolls,2
X2131,collectible-dolls-new,2
X2131,whats-new,2
X4779,silkstone-dolls,3
X4779,campers-cars,3
X4779,entertainment-fairytale-dolls,3
X4779,dolls,3
X4779,collectible-dolls-new,3
X4779,whats-new,3
X7744,silkstone-dolls,4
X7744,campers-cars,4
X7744,entertainment-fairytale-dolls,4
X7744,dolls,4
X7744,collectible-dolls-new,4
X7744,whats-new,4
X7745,silkstone-dolls,5
X7745,campers-cars,5
X7745,entertainment-fairytale-dolls,5
X7745,dolls,5
X7745,collectible-dolls-new,5
X7745,whats-new,5
X9045,silkstone-dolls,6
X9045,campers-cars,6
X9045,entertainment-fairytale-dolls,6
X9045,dolls,6
X9045,collectible-dolls-new,6
X9045,whats-new,6
BJH91,pop-culture-dolls,6
BJH91,sale-playsets,7
BJH91,african-american-dolls,4
BJH91,dolls,24
BJH91,collectible-dolls-new,24
BJH91,whats-new,24
Y6382,pop-culture-dolls,7
Y6382,sale-playsets,8
Y6382,african-american-dolls,5
Y6382,dolls,25
Y6382,collectible-dolls-new,25
Y6382,whats-new,25
BBV50,pop-culture-dolls,8
BBV50,sale-playsets,9
BBV50,african-american-dolls,6
BBV50,dolls,26
BBV50,collectible-dolls-new,26
BBV50,whats-new,26
BCG71,pop-culture-dolls,9
BCG71,Accessories,1
BCG71,african-american-dolls,7
BCG71,dolls,27
BCG71,collectible-dolls-new,27
BCG71,whats-new,27
Y6855,pop-culture-dolls,10
Y6855,Accessories,2
Y6855,african-american-dolls,8
Y6855,dolls,28
Y6855,collectible-dolls-new,28
Y6855,whats-new,28
Y8178,pop-culture-dolls,11
Y8178,Accessories,3
Y8178,african-american-dolls,9
Y8178,dolls,29
Y8178,collectible-dolls-new,29
Y8178,whats-new,29
Y7373,pop-culture-dolls,12
Y7373,Accessories,4
Y7373,african-american-dolls,10
Y7373,dolls,30
Y7373,collectible-dolls-new,30
Y7373,whats-new,30
CCG00,pop-culture-dolls,13
CCG00,Accessories,5
CCG00,african-american-dolls,11
CCG00,dolls,31
CCG00,collectible-dolls-new,31
CCG00,whats-new,31
Y9926,fantasy-dolls,1
Y9926,Accessories,6
Y9926,african-american-dolls,12
Y9926,dolls,32
Y9926,collectible-dolls-new,32
Y9926,whats-new,32
CCN82,fantasy-dolls,2
CCN82,Accessories,7
CCN82,african-american-dolls,13
CCN82,dolls,33
CCN82,collectible-dolls-new,33
CCN82,whats-new,33
BCP34,fantasy-dolls,3
BCP34,Accessories,8
